TimePDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,51.1,41.0,68,29.96,10.0,North,3.5,-,N/A,,Clear,350,2013-05-23 07:53:00
1:53 AM,48.0,39.9,74,29.97,10.0,ESE,3.5,-,N/A,,Clear,120,2013-05-23 08:53:00
2:53 AM,48.0,39.9,74,29.96,10.0,SE,4.6,-,N/A,,Clear,140,2013-05-23 09:53:00
3:53 AM,48.0,39.0,71,29.97,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-05-23 10:53:00
4:53 AM,48.9,39.0,69,29.97,10.0,WNW,6.9,-,N/A,,Scattered Clouds,300,2013-05-23 11:53:00
5:53 AM,48.0,39.0,71,29.98,10.0,West,5.8,-,N/A,,Clear,260,2013-05-23 12:53:00
6:53 AM,46.9,39.0,74,29.99,10.0,SSE,4.6,-,N/A,,Partly Cloudy,150,2013-05-23 13:53:00
7:53 AM,51.1,39.0,63,29.99,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-05-23 14:53:00
8:53 AM,53.1,39.0,59,30.00,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2013-05-23 15:53:00
9:53 AM,55.9,37.9,51,30.00,10.0,NW,4.6,-,N/A,,Clear,310,2013-05-23 16:53:00
10:53 AM,59.0,39.9,49,30.00,10.0,NNW,9.2,-,N/A,,Clear,330,2013-05-23 17:53:00
11:53 AM,61.0,41.0,48,30.01,10.0,NNW,6.9,-,N/A,,Clear,340,2013-05-23 18:53:00
12:53 PM,63.0,39.9,43,30.00,10.0,WNW,6.9,-,N/A,,Clear,290,2013-05-23 19:53:00
1:53 PM,64.9,41.0,42,30.00,10.0,NW,4.6,-,N/A,,Clear,320,2013-05-23 20:53:00
2:53 PM,66.0,42.1,42,30.00,10.0,NW,12.7,19.6,N/A,,Clear,310,2013-05-23 21:53:00
3:53 PM,66.0,43.0,43,29.99,10.0,NW,15.0,23.0,N/A,,Clear,320,2013-05-23 22:53:00
4:53 PM,66.0,43.0,43,29.99,10.0,NW,16.1,-,N/A,,Clear,310,2013-05-23 23:53:00
5:53 PM,64.0,43.0,46,29.99,10.0,NW,13.8,-,N/A,,Clear,320,2013-05-24 00:53:00
6:53 PM,62.1,43.0,50,29.99,10.0,NW,17.3,-,N/A,,Clear,310,2013-05-24 01:53:00
7:53 PM,59.0,43.0,55,30.00,10.0,NW,10.4,-,N/A,,Clear,320,2013-05-24 02:53:00
8:53 PM,57.0,43.0,59,30.01,10.0,NNW,8.1,-,N/A,,Clear,340,2013-05-24 03:53:00
9:53 PM,55.9,42.1,60,30.02,10.0,NNW,4.6,-,N/A,,Clear,330,2013-05-24 04:53:00
10:53 PM,54.0,43.0,66,30.03,10.0,NW,5.8,-,N/A,,Clear,320,2013-05-24 05:53:00
11:53 PM,53.1,44.1,71,30.01,10.0,NNW,4.6,-,N/A,,Clear,330,2013-05-24 06:53:00
